Scale Factor (a),Curvature (k),Redshift (z),Comoving Distance (Mpc),Proper Distance (Mpc),Angular Distance (Mpc),Luminosity Distance (Mpc),Light Travel Time (Gyr),Big Bang to z Travel Time (Gyr),Universe Time (Gyr)
0.15981403457794569,k = 0,5.257272727272727,2.5625720763252637e-16,2.5625720763252637e-16,4.095349824143238e-17,1.6034712364860717e-15,12.391048902622542,1.0852569153311342,13.476305817953673
0.1572776665713469,k = 0,5.3581818181818175,2.578639144190327e-16,2.578639144190327e-16,4.0556234752778955e-17,1.6395456522242858e-15,12.416703596701772,1.0596022212518992,13.476305817953673
0.15482054890921887,k = 0,5.459090909090909,2.594331569283696e-16,2.594331569283696e-16,4.0165583760901695e-17,1.6757023454327872e-15,12.441365514188858,1.0349403037648137,13.476305817953673
0.1524390243902439,k = 0,5.56,2.6096635905017907e-16,2.6096635905017907e-16,3.978145717228339e-17,1.7119393153691744e-15,12.465087468889047,1.0112183490646238,13.476305817953673
0.15012965743141807,k = 0,5.66090909090909,2.6246487068596927e-16,2.6246487068596927e-16,3.940376112386601e-17,1.7482546431964515e-15,12.487918728380185,0.9883870895734884,13.476305817953673
0.1478892175315945,k = 0,5.761818181818182,2.6392997256893223e-16,2.6392997256893223e-16,3.9032397126354586e-17,1.7846464872433798e-15,12.50990529965296,0.966400518300713,13.476305817953673
0.14571466419393297,k = 0,5.862727272727272,2.653628807102161e-16,2.653628807102161e-16,3.866726305222384e-17,1.821113078619474e-15,12.531090188069342,0.9452156298843296,13.476305817953673
0.14360313315926895,k = 0,5.963636363636363,2.6676475050488513e-16,2.6676475050488513e-16,3.830825398895219e-17,1.8576527171522e-15,12.551513632460535,0.9247921854931339,13.476305817953673
0.14155192381932827,k = 0,6.0645454545454545,2.681366805275212e-16,2.681366805275212e-16,3.7955262975199247e-17,1.8942637676176064e-15,12.571213318854229,0.9050924990994432,13.476305817953673
0.1395584876934788,k = 0,6.165454545454545,2.6947971604438483e-16,2.6947971604438483e-16,3.760818163522244e-17,1.9309446562380372e-15,12.59022457503191,0.8860812429217612,13.476305817953673
0.13762041786563245,k = 0,6.266363636363636,2.707948522665787e-16,2.707948522665787e-16,3.726690072478877e-17,1.9676938674243304e-15,12.608580547864996,0.8677252700886713,13.476305817953673
0.1357354392892399,k = 0,6.367272727272727,2.720830373661583e-16,2.720830373661583e-16,3.693131060004617e-17,2.0045099407412243e-15,12.626312365157894,0.8499934527957713,13.476305817953673
0.13390139987827146,k = 0,6.468181818181818,2.7334517527512306e-16,2.7334517527512306e-16,3.660130161931045e-17,2.041391468077396e-15,12.643449283533123,0.8328565344205453,13.476305817953673
0.13211626231083354,k = 0,6.569090909090908,2.7458212828531633e-16,2.7458212828531633e-16,3.62767644864098e-17,2.0783370910032215e-15,12.66001882372419,0.8162869942294737,13.476305817953673
0.1303780964797914,k = 0,6.67,2.757947194655801e-16,2.757947194655801e-16,3.5957590543100404e-17,2.1153454983009995e-15,12.676046894493084,0.8002589234605786,13.476305817953673
0.12868507253158634,k = 0,6.7709090909090905,2.769837349110025e-16,2.769837349110025e-16,3.5643672017092045e-17,2.1524154236538633e-15,12.691557906258033,0.7847479116956266,13.476305817953673
0.12703545444046657,k = 0,6.871818181818181,2.781499258377379e-16,2.781499258377379e-16,3.5334902231379104e-17,2.1895456434808837e-15,12.706574875401877,0.7697309425517771,13.476305817953673
0.12542759407069556,k = 0,6.972727272727273,2.7929401053566e-16,2.7929401053566e-16,3.5031175779843335e-17,2.2267349749070344e-15,12.721119520129179,0.7551862978244754,13.476305817953673
0.12385992568404458,k = 0,7.073636363636363,2.8041667619001293e-16,2.8041667619001293e-16,3.47323886734618e-17,2.263982273857732e-15,12.735212348650048,0.7410934693036,13.476305817953673
0.12233096085409254,k = 0,7.174545454545454,2.8151858058223244e-16,2.8151858058223244e-16,3.443843846090477e-17,2.3012864332685764e-15,12.748872740388817,0.7274330775648281,13.476305817953673
0.12083928375260904,k = 0,7.275454545454545,2.8260035367922176e-16,2.8260035367922176e-16,3.414922432683115e-17,2.338646381401778e-15,12.762119020844628,0.714186797109014,13.476305817953673
0.11938354677664426,k = 0,7.376363636363636,2.8366259911955627e-16,2.8366259911955627e-16,3.3864647170774033e-17,2.3760610802614463e-15,12.774968530668263,0.701337287285376,13.476305817953673
0.11796246648793567,k = 0,7.477272727272727,2.847058956043684e-16,2.847058956043684e-16,3.3584609669148024e-17,2.4135295241006683e-15,12.787437689463358,0.6888681284902686,13.476305817953673
0.1165748198389148,k = 0,7.578181818181818,2.8573079820000106e-16,2.8573079820000106e-16,3.330901632259444e-17,2.451050738013827e-15,12.799542054770425,0.676763763183197,13.476305817953673
0.11521944066198805,k = 0,7.679090909090909,2.8673783955892375e-16,2.8673783955892375e-16,3.303777349060607e-17,2.488623776608223e-15,12.811296376647377,0.6650094413062317,13.476305817953673
0.11389521640091117,k = 0,7.779999999999999,2.877275310648642e-16,2.877275310648642e-16,3.2770789415132596e-17,2.5262477227495072e-15,12.822714648220899,0.6535911697327054,13.476305817953673
0.11260108506500154,k = 0,7.880909090909091,2.8870036390761665e-16,2.8870036390761665e-16,3.250797423465844e-17,2.563921686375915e-15,12.833810152546997,0.6424956654065954,13.476305817953673
0.11133603238866398,k = 0,7.9818181818181815,2.8965681009254393e-16,2.8965681009254393e-16,3.2249239990060564e-17,2.6016448033766668e-15,12.844595506087755,0.631710311865825,13.476305817953673
0.11009908918026225,k = 0,8.082727272727272,2.9059732338938236e-16,2.9059732338938236e-16,3.1994500623393115e-17,2.6394162345302902e-15,12.85508269908236,0.6212231188712024,13.476305817953673
0.10888932884577311,k = 0,8.183636363636364,2.9152234022459247e-16,2.9152234022459247e-16,3.1743671970605e-17,2.6772351644989394e-15,12.865283133065212,0.6110226848883393,13.476305817953673
0.1077058650739254,k = 0,8.284545454545453,2.9243228052115956e-16,2.9243228052115956e-16,3.149667174907232e-17,2.715100800875093e-15,12.875207655760663,0.6010981621928652,13.476305817953673
0.10654784967067028,k = 0,8.385454545454545,2.9332754848944464e-16,2.9332754848944464e-16,3.1253419540719594e-17,2.7530123732772963e-15,12.884866593563565,0.5914392243899452,13.476305817953673
0.10541447053186392,k = 0,8.486363636363636,2.942085333724033e-16,2.942085333724033e-16,3.1013836771408114e-17,2.790969132491844e-15,12.894269781795728,0.5820360361577571,13.476305817953673
0.10430494974397878,k = 0,8.587272727272726,2.9507561014823826e-16,2.9507561014823826e-16,3.0777846687185867e-17,2.828970349657564e-15,12.903426592912105,0.5728792250413558,13.476305817953673
0.10321854180350944,k = 0,8.688181818181818,2.959291401933131e-16,2.959291401933131e-16,3.054537432792009e-17,2.867015315491034e-15,12.9123459628149,0.5639598551385347,13.476305817953673
0.10215453194650817,k = 0,8.789090909090909,2.9676947190794706e-16,2.9676947190794706e-16,3.031634649876873e-17,2.9051033395497943e-15,12.92103641542041,0.5552694025329951,13.476305817953673
0.10111223458038424,k = 0,8.889999999999999,2.97596941307508e-16,2.97596941307508e-16,3.009069173988959e-17,2.943233749531254e-15,12.929506085610862,0.546799732342508,13.476305817953673
0.10009099181073704,k = 0,8.99090909090909,2.9841187258104847e-16,2.9841187258104847e-16,2.9868340294736426e-17,2.9814058906052023e-15,12.937762740692335,0.5385430772609939,13.476305817953673
0.09909017205657147,k = 0,9.091818181818182,2.992145786195577e-16,2.992145786195577e-16,2.9649224077246506e-17,3.0196191247779184e-15,12.945813800469683,0.5304920174836005,13.476305817953673
0.09810916874777026,k = 0,9.192727272727272,3.00005361515759e-16,3.00005361515759e-16,2.943327663818542e-17,3.0578728302860812e-15,12.953666356040141,0.5226394619130965,13.476305817953673
0.09714739909917867,k = 0,9.293636363636363,3.007845130372377e-16,3.007845130372377e-16,2.922043313088064e-17,3.0961664010187656e-15,12.961327187398924,0.5149786305542603,13.476305817953673
0.09620430295609586,k = 0,9.394545454545455,3.01552315074557e-16,3.01552315074557e-16,2.901063027654475e-17,3.1344992459658948e-15,12.96880277994255,0.5075030380105796,13.476305817953673
0.0952793417063664,k = 0,9.495454545454544,3.0230904006590746e-16,3.0230904006590746e-16,2.880380632936321e-17,3.1728707886917283e-15,12.976099339948581,0.5002064780044843,13.476305817953673
0.09437199725463281,k = 0,9.596363636363636,3.0305495139972103e-16,3.0305495139972103e-16,2.8599901041497356e-17,3.211280466831953e-15,12.983222809104333,0.49308300884865963,13.476305817953673
0.09348177105464435,k = 0,9.697272727272727,3.037903037965832e-16,3.037903037965832e-16,2.839885562813305e-17,3.249727731613086e-15,12.990178878151179,0.48612693980173605,13.476305817953673
0.09260818319582423,k = 0,9.798181818181817,3.045153436716873e-16,3.045153436716873e-16,2.8200612732686993e-17,3.2882120473930007e-15,12.996972999705948,0.4793328182468857,13.476305817953673
0.09175077154057887,k = 0,9.899090909090908,3.052303094789856e-16,3.052303094789856e-16,2.800511639226659e-17,3.326732891221417e-15,13.003610400316084,0.47269541763665707,13.476305817953673
0.09090909090909091,k = 0,10.0,3.059354320381191e-16,3.059354320381191e-16,2.7812312003465375e-17,3.36528975241931e-15,13.010096091800877,0.46620972615176404,13.476305817953673
